Symbol,Last_Close (₦),XGB_Signal,XGB_Return (%),XGB_R2,XGB_Direction_Acc,XGB_Balanced_Acc,XGB_Buy_Probability,XGB_F1_BUY,XGB_Confidence,RF_Signal,RF_Return (%),RF_R2,RF_Direction_Acc,RF_Balanced_Acc,RF_Buy_Probability,RF_F1_BUY,RF_Confidence,LSTM_Signal,LSTM_Return (%),LSTM_R2,LSTM_Direction_Acc,LSTM_Balanced_Acc,LSTM_Buy_Probability,LSTM_F1_BUY,LSTM_Confidence,XGB_Quality_Pass,RF_Quality_Pass,LSTM_Quality_Pass,Models_Run,Qualified_Models,Qualified_Model_Names,Vote_Source,Consensus_Signal,Consensus_Tier,Avg_R2,Avg_Quality_R2,Avg_Confidence,Avg_Return,Fallback_Return_20D (%),Fallback_Return_60D (%),Fallback_Return_120D (%),Fallback_Avg_Trade_Value_20D
FIRSTHOLDCO,67.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,47.644,3.0769,24.0741,115.781,4054158459.68
FLOURMILL,62.0,SELL,-6.56,0.0927,56.37,59.27,10.93,34.45,0.1595,SELL,-6.67,0.0942,56.37,59.42,10.23,32.51,0.1537,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,SELL,2,0.0934,0.0934,0.1566,,,,,
FO,16.7,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-8.3824,-18.932,-7.7348,1.5198,3800523.86
FTNCOCOA,9.09,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,72.5194,81.8,50.2479,85.5102,116208545.87
GEREGU,1132.5,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,HOLD,3,0.0,0.0,0.05,-0.5256,0.0,-0.7884,-0.7884,2952147.62
GLAXOSMITH,12.15,SELL,-9.47,0.0837,56.87,58.37,12.12,51.5,0.2278,SELL,-8.74,0.0635,54.58,56.35,15.05,47.11,0.1856,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,SELL,2,0.0736,0.0736,0.2067,,,,,
GTCO,133.8,SELL,-4.18,0.1605,59.64,66.05,30.81,60.65,0.1538,SELL,-4.09,0.1392,55.78,63.92,31.23,54.26,0.1302,SELL,-0.62,0.0,32.52,50.0,47.15,0.0,0.0,True,True,False,3,2,"XGB,RF",quality,SELL,2,0.0999,0.1498,0.142,,,,,
GUINEAINS,1.08,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-8.4178,-1.8182,-14.9606,-8.4746,3513828.72
GUINNESS,497.0,SELL,-7.6,0.077,54.39,57.7,29.55,38.78,0.0915,SELL,-11.62,0.0577,52.12,55.77,18.73,32.67,0.1139,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,SELL,2,0.0673,0.0673,0.1027,,,,,
HMCALL,3.84,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,HOLD,3,0.0,0.0,0.05,-0.8028,11.9534,-4.7146,-9.6471,1913202.32
